rank,word,count,complexity_band
147,leaving,1,Band 1 - Basic/Everyday
148,lesson,86,Band 1 - Basic/Everyday
149,lets,1,Band 1 - Basic/Everyday
150,letters,1,Band 1 - Basic/Everyday
151,life,217,Band 1 - Basic/Everyday
152,light,20,Band 1 - Basic/Everyday
153,likely,22,Band 1 - Basic/Everyday
154,list,19,Band 1 - Basic/Everyday
155,listen,29,Band 1 - Basic/Everyday
156,listened,1,Band 1 - Basic/Everyday
157,listening,17,Band 1 - Basic/Everyday
158,live,79,Band 1 - Basic/Everyday
159,lives,82,Band 1 - Basic/Everyday
160,living,63,Band 1 - Basic/Everyday
161,look,29,Band 1 - Basic/Everyday
162,lose,1,Band 1 - Basic/Everyday
163,love,154,Band 1 - Basic/Everyday
164,loving,26,Band 1 - Basic/Everyday
165,low,1,Band 1 - Basic/Everyday
166,made,35,Band 1 - Basic/Everyday
167,make,184,Band 1 - Basic/Everyday
168,making,22,Band 1 - Basic/Everyday
169,man,29,Band 1 - Basic/Everyday
170,may,151,Band 1 - Basic/Everyday
171,mean,17,Band 1 - Basic/Everyday
172,means,50,Band 1 - Basic/Everyday
173,meet,59,Band 1 - Basic/Everyday
174,meeting,59,Band 1 - Basic/Everyday
175,member,47,Band 1 - Basic/Everyday
176,men,19,Band 1 - Basic/Everyday
177,message,61,Band 1 - Basic/Everyday
178,middle,1,Band 1 - Basic/Everyday
179,might,130,Band 1 - Basic/Everyday
180,mind,27,Band 1 - Basic/Everyday
181,minutes,17,Band 1 - Basic/Everyday
182,missing,1,Band 1 - Basic/Everyday
183,mistake,1,Band 1 - Basic/Everyday
184,money,1,Band 1 - Basic/Everyday
185,moon,1,Band 1 - Basic/Everyday
186,more,210,Band 1 - Basic/Everyday
187,mother,1,Band 1 - Basic/Everyday
188,moved,1,Band 1 - Basic/Everyday
189,movies,1,Band 1 - Basic/Everyday
190,moving,1,Band 1 - Basic/Everyday
191,much,31,Band 1 - Basic/Everyday
192,must,22,Band 1 - Basic/Everyday
193,name,36,Band 1 - Basic/Everyday
194,need,87,Band 1 - Basic/Everyday
195,needed,28,Band 1 - Basic/Everyday
196,needs,80,Band 1 - Basic/Everyday
197,new,142,Band 1 - Basic/Everyday
198,next,40,Band 1 - Basic/Everyday
199,night,1,Band 1 - Basic/Everyday
200,no,30,Band 1 - Basic/Everyday
201,not,275,Band 1 - Basic/Everyday
202,notes,232,Band 1 - Basic/Everyday
203,offer,33,Band 1 - Basic/Everyday
204,often,40,Band 1 - Basic/Everyday
205,only,32,Band 1 - Basic/Everyday
206,open,21,Band 1 - Basic/Everyday
207,ours,1,Band 1 - Basic/Everyday
208,out,41,Band 1 - Basic/Everyday
209,own,71,Band 1 - Basic/Everyday
210,pages,1,Band 1 - Basic/Everyday
211,paper,1,Band 1 - Basic/Everyday
212,part,55,Band 1 - Basic/Everyday
213,path,29,Band 1 - Basic/Everyday
214,peace,35,Band 1 - Basic/Everyday
215,people,704,Band 1 - Basic/Everyday
216,person,227,Band 1 - Basic/Everyday
217,personal,106,Band 1 - Basic/Everyday
